hostname,worker_id,start_time,stop_time,nSuccesses
andes176.olcf.ornl.gov,Worker-01fa4b84-6391-4ff1-848f-c68a37e44215,1666123006.6614697,1666123006.7843425,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm18G064200.1/model_5_ptm_20211001_473738.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm04G008700.1/model_2_ptm_20211001_967514.pdb
andes176.olcf.ornl.gov,Worker-2f6540fe-7ef9-427e-94e4-8fd3f0f9f901,1666123006.6647835,1666123006.787017,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G131400.1/model_2_ptm_20211001_589071.pdb
andes176.olcf.ornl.gov,Worker-646cf503-1edf-42e6-8de6-9319702f7da0,1666123006.6582298,1666123006.7926705,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm14G085100.1/model_2_ptm_20211001_159260.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm20G004700.1/model_2_ptm_20211001_120114.pdb
andes176.olcf.ornl.gov,Worker-728f931d-8bb6-4d1e-89ed-6a2d5e7aae3c,1666123006.6623352,1666123006.7966287,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm18G064200.1/model_5_ptm_20211001_473738.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm07G021300.1/model_2_ptm_20211001_975803.pdb
andes176.olcf.ornl.gov,Worker-78b8800e-9f91-4cd6-b6a5-05475f5bb159,1666123006.6635659,1666123006.7978947,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm18G064200.1/model_5_ptm_20211001_473738.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm11G034700.1/model_2_ptm_20211001_410361.pdb
andes176.olcf.ornl.gov,Worker-4ca79dfb-6f6f-45fa-afa6-c917acb61cf6,1666123006.6600196,1666123006.800791,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm11G034700.1/model_2_ptm_20211001_410361.pdb
andes176.olcf.ornl.gov,Worker-4d23817a-e4ad-4e25-aef8-ac029c0fbbde,1666123006.6585739,1666123006.8125813,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm03G126700.1/model_3_ptm_20211001_809623.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm11G074700.1/model_1_ptm_20211001_981646.pdb
andes176.olcf.ornl.gov,Worker-f97bd65a-880e-4286-a4c9-f32bffd32738,1666123006.6610742,1666123006.815312,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm03G126700.1/model_3_ptm_20211001_809623.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm10G037400.1/model_1_ptm_20211001_832780.pdb
andes176.olcf.ornl.gov,Worker-b805c0a2-301d-4ff1-bf4a-c04954683c1d,1666123006.6623662,1666123006.8187096,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm18G064200.1/model_5_ptm_20211001_473738.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm20G002800.1/model_1_ptm_20211001_113600.pdb
andes176.olcf.ornl.gov,Worker-5407141b-db06-4131-a317-1edd467a24ad,1666123006.6628711,1666123006.8243387,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm18G064200.1/model_5_ptm_20211001_473738.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm20G004700.1/model_2_ptm_20211001_120114.pdb
andes176.olcf.ornl.gov,Worker-6984ebf0-d8f8-47ce-a67e-a04faa4de99e,1666123006.6635664,1666123006.8295484,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm10G037400.1/model_1_ptm_20211001_832780.pdb
andes176.olcf.ornl.gov,Worker-65051215-113e-4451-a9d0-7fb4eaa139ac,1666123006.6646867,1666123006.8298266,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm07G021300.1/model_2_ptm_20211001_975803.pdb
